id;zip;bfsnr;name;canton_id;district_id;planning_region_id;mountain_region_id;ase;greater_region_id;language_region_id;ms_region_id;job_market_region_id;agglomeration_id;metropole_region_id;tourism_region_id;municipal_size_class_id;urban_character_id;agglomeration_size_class_id;is_town;degurba_id;municipal_type22_id;municipal_type9_id;ms_region_typology_id;alternate_names;lat;long;lv03_easting;lv03_northing;noise_level;steuerfuss_gde;steuerfuss_kanton
2149;4058;2703;Riehen;12;1200;1201;0;0;3;1;47;8;2701;3;5;3;2;1;1;2;5;3;1;[];47.5750216;7.6346404;614748.116717558;269386.525543568;50.8563995837669;0.37;0.55
2171;4125;2703;Riehen;12;1200;1201;0;0;3;1;47;8;2701;3;5;3;2;1;1;2;5;3;1;[];47.5750216;7.6346404;614748.116717558;269386.525543568;50.8563995837669;0.37;0.55
905;1934;6031;Bagnes;23;2303;2307;4;0;1;2;100;3;0;0;11;5;0;0;0;3;6;5;10;[];46.00998095;7.30700547338256;589803.576201622;95389.5659310092;0;1;1
906;1936;6031;Bagnes;23;2303;2307;4;0;1;2;100;3;0;0;11;5;0;0;0;3;6;5;10;[];46.00998095;7.30700547338256;589803.576201622;95389.5659310092;0;1;1
915;1947;6031;Bagnes;23;2303;2307;4;0;1;2;100;3;0;0;11;5;0;0;0;3;6;5;10;[];46.00998095;7.30700547338256;589803.576201622;95389.5659310092;0;1;1
916;1948;6031;Bagnes;23;2303;2307;4;0;1;2;100;3;0;0;11;5;0;0;0;3;6;5;10;[];46.00998095;7.30700547338256;589803.576201622;95389.5659310092;0;1;1
2061;3947;6104;Ergisch;23;2306;2304;4;1;1;1;97;3;0;0;11;8;0;0;0;3;16;7;13;[];46.292777;7.7148033;621281.018855277;126855.459632253;42.952133194589;1;1
2062;3948;6112;Oberems;23;2306;2304;4;1;1;1;97;3;0;0;11;8;0;0;0;3;7;5;13;["Unterems"];46.2819813;7.6963427;619862.385257026;125650.59639542;42.9292403746098;1;1
2826;6006;1063;Meggen;3;312;301;4;0;6;1;26;14;1061;9;4;5;2;3;0;2;5;3;6;[];47.0470746;8.3733992;671030.442163793;211094.248437806;51.7028154327424;0.9775;1.6
2886;6045;1063;Meggen;3;312;301;4;0;6;1;26;14;1061;9;4;5;2;3;0;2;5;3;6;[];47.0470746;8.3733992;671030.442163793;211094.248437806;51.7028154327424;0.9775;1.6
893;1923;6218;Salvan;23;2310;2307;4;0;1;2;100;3;0;0;11;7;0;0;0;3;17;6;10;[];46.1219825;7.0208326;567703.186907294;107917.935015735;48.5442247658689;1;1
892;1922;6218;Salvan;23;2310;2307;4;0;1;2;100;3;0;0;11;7;0;0;0;3;17;6;10;[];46.1219825;7.0208326;567703.186907294;107917.935015735;48.5442247658689;1;1
2015;3907;6009;Simplon;23;2301;2302;4;0;1;1;95;3;0;0;11;8;0;0;0;3;7;5;10;[];46.1955875;8.0563136;647682.175809375;116201.809466176;48.9385416666667;1;1
900;1929;6142;Trient;23;2307;2307;4;0;1;2;100;3;0;0;11;8;0;0;0;3;7;5;10;[];46.0559487;6.9953742;565693.710426194;100588.083697668;49.0249739854318;1;1
1737;3472;421;Rumendingen;2;245;207;1;0;2;1;16;7;0;0;6;8;0;0;0;3;8;6;9;[];47.1055366;7.6430358;615515.486680203;217190.790252154;47.7180020811655;1;3.06
2006;3900;6002;Brig-Glis;23;2301;2302;4;0;1;1;95;3;6002;9;11;4;1;5;1;2;3;1;10;["Brigerbad", "Gamsen"];46.28873245;7.9753083733611;641358.026996716;126509.992273805;0;1.05;1
874;1903;6211;Collonges;23;2310;2307;4;0;1;2;100;3;0;0;11;8;0;0;0;3;16;7;10;[];46.1714906;7.0347121;568804.413796571;113415.810316598;47.7065556711759;1.1;1
889;1920;6136;Martigny;23;2307;2307;4;0;1;2;100;3;9005;9;11;4;1;5;1;2;3;1;10;[];46.103115;7.0727354;571705.529558783;105800.518381867;52.5991561181435;1.1;1
898;1927;6136;Martigny;23;2307;2307;4;0;1;2;100;3;9005;9;11;4;1;5;1;2;3;1;10;[];46.103115;7.0727354;571705.529558783;105800.518381867;52.5991561181435;1.1;1
875;1904;6136;Martigny;23;2307;2307;4;0;1;2;100;3;9005;9;11;4;1;5;1;2;3;1;10;[];46.103115;7.0727354;571705.529558783;105800.518381867;52.5991561181435;1.1;1
2011;3903;6007;Naters;23;2301;2302;4;0;1;1;95;3;6002;9;11;5;2;5;0;2;13;2;10;[];46.3242659;7.9884511;642343.116871896;130466.959362241;49.3995837669095;1.1;1
2012;3904;6007;Naters;23;2301;2302;4;0;1;1;95;3;6002;9;11;5;2;5;0;2;13;2;10;[];46.3242659;7.9884511;642343.116871896;130466.959362241;49.3995837669095;1.1;1
2023;3914;6007;Naters;23;2301;2302;4;0;1;1;95;3;6002;9;11;5;2;5;0;2;13;2;10;[];46.3242659;7.9884511;642343.116871896;130466.959362241;49.3995837669095;1.1;1
2124;3988;6076;Obergoms;23;2304;2301;4;1;1;1;94;3;0;0;11;8;0;0;0;3;7;5;13;[];46.5176608;8.3301358;668412.175747102;152205.945470023;37.8813735691988;1.1;1
2137;3999;6076;Obergoms;23;2304;2301;4;1;1;1;94;3;0;0;11;8;0;0;0;3;7;5;13;[];46.5176608;8.3301358;668412.175747102;152205.945470023;37.8813735691988;1.1;1
